Matches,RecursiveCalls,TotalTime,SearchTime
20,27,0.293792,0.005625
20,26,0.233917,0.005709
27,26,0.231166,0.005625
20,41,0.419583,0.009542
34,23,0.430624,0.004958
20,28,0.274001,0.004875
25,23,0.285541,0.005583
22,54,0.372208,0.013125
20,27,0.274166,0.004375
20,33,0.241874,0.007291
25,23,0.369833,0.005417
2,24,0.303,0.0065
20,26,0.248959,0.004959
20,23,0.330375,0.005292
20,25,0.316791,0.00575
20,76,0.598123,0.023291
34,23,0.297916,0.005041
20,23,0.260751,0.005125
20,107,0.343041,0.025417
20,26,0.266042,0.005375
20,27,0.221625,0.005959
3,25,0.239751,0.005542
20,28,0.323542,0.005541
27,22,0.310542,0.004917
20,76,0.719874,0.019375
20,35,0.45996,0.010584
20,63,0.725167,0.024917
27,64,0.470208,0.016416
20,28,0.269501,0.007084
27,22,0.265917,0.006042
36,31,0.30725,0.008875
20,27,0.3905,0.007083
20,69,0.273916,0.00975
30,22,0.605458,0.005584
26,28,0.266333,0.0055
32,23,0.264001,0.005375
34,23,0.357042,0.005333
20,24,0.315417,0.005875
21,23,0.319875,0.006
27,23,0.308499,0.005125
22,23,0.256708,0.004208
20,39,0.140959,0.005042
18,101,0.22425,0.020917
22,27,0.348542,0.007667
20,22,0.313457,0.006708
20,32,0.283042,0.008875
20,34,0.291001,0.005875
20,27,0.223416,0.005917
20,1447,1.1285,0.425209
21,25,0.175917,0.005375
20,43,0.349126,0.009167
20,3005,1.73325,0.893959
30,38,0.475167,0.012708
20,43,0.296166,0.009125
20,42,0.360666,0.008958
20,53,0.456792,0.015458
38,23,0.114875,0.004375
20,26,0.27525,0.005125
27,48,0.42675,0.019125
24,25,0.267875,0.004792
21,37,0.509207,0.011708
24,42,0.389917,0.012541
20,34,0.140916,0.006208
23,29,0.24525,0.005791
21,73,0.778416,0.04
20,25,0.267167,0.005917
20,42,0.402085,0.012917
21,31,0.180916,0.006375
20,97,0.156584,0.0125
21,39,0.3245,0.009917
22,49,0.321292,0.012042
20,31,0.248042,0.005125
21,71,0.214084,0.016042
20,36,0.240542,0.005959
20,42,0.230251,0.008792
20,31,0.145792,0.005916
20,86,0.573,0.023167
20,49,0.287708,0.011667
20,43,0.373332,0.009791
20,59,0.277251,0.009917
20,41,0.258208,0.010792
20,46,0.317043,0.00725
20,32,0.345376,0.008042
30,30,0.378001,0.006042
28,30,0.356292,0.006875
22,33,0.304708,0.008416
20,58,0.408084,0.009292
36,32,0.347709,0.008542
20,36,0.521,0.010875
22,31,0.301584,0.006917
20,34,0.160709,0.00675
21,30,0.137835,0.008209
125,30,0.327958,0.007333
20,34,0.528625,0.00725
20,103,0.799208,0.03325
20,40,0.626666,0.013625
20,33,0.315459,0.006167
55,30,0.325374,0.007292
20,35,0.346876,0.006917
32,33,0.480167,0.008917
28,46,0.453833,0.011459
21,32,0.37925,0.00775
27,80,0.584083,0.023958
20,37,0.151042,0.006417
20,56,0.200499,0.010666
20,261,0.599251,0.04525
20,34,0.220125,0.005625
20,43,0.365042,0.008
27,32,0.319792,0.007917
20,34,0.275123,0.005541
20,45,0.303625,0.007625
20,38,0.230166,0.009208
20,35,0.35025,0.008042
54,30,0.193124,0.0065
20,46,0.387,0.009084
20,30,0.305499,0.006292
20,66,0.503958,0.021
20,34,0.355667,0.007583
22,45,0.211124,0.009208
20,54,0.190958,0.010042
20,55,0.363584,0.014792
20,38,0.341792,0.00725
20,30,0.322,0.00775
21,42,0.310749,0.006916
20,45,0.488668,0.010125
33,31,0.402291,0.007
20,33,0.304668,0.005709
20,31,0.296584,0.006458
27,33,0.258458,0.006791
31,31,0.275874,0.006041
696,35,0.396,0.011375
20,33,0.369916,0.006875
20,66,0.6795,0.016334
20,34,0.205583,0.006708
26,36,0.447666,0.011333
20,58,0.288666,0.01
23,33,0.700334,0.014792
27,31,0.482833,0.006125
20,33,0.30425,0.005833
21,32,0.344833,0.008333
391,30,0.219416,0.009458
20,117,0.407583,0.01375
33,33,0.172085,0.006709
104,40,0.361624,0.008167
20,33,0.245125,0.0085
28,31,0.388209,0.006917
24,47,0.3025,0.010042
44,30,0.332208,0.006791
20,85,0.812917,0.019875
22,30,0.39579,0.013416
20,54,0.707708,0.016542
28,30,0.316542,0.005375
20,34,0.287957,0.008541
24,30,0.327124,0.005541
20,31,0.341959,0.007959
20,39,0.436832,0.0105
20,45,0.372417,0.008709
20,181,0.665834,0.052833
341,30,0.21125,0.005625
20,41,0.492709,0.00875
21,33,0.424833,0.0085
27,31,0.330043,0.013834
20,35,0.302876,0.010584
24,3648,0.932417,0.607625
20,34,0.174791,0.007208
20,42,0.274542,0.007167
21,31,0.263958,0.005833
20,38,0.280208,0.007041
35,29315,11.4257,10.075
20,31,0.357249,0.007083
24,33,0.518124,0.00775
30,30,0.303626,0.005667
31,31,0.363541,0.005583
20,31,0.404918,0.006
24,32,0.430293,0.008792
20,38,0.409334,0.007334
32,33,0.41525,0.007875
1,31,0.280959,0.006667
20,132,0.746332,0.048916
21,31,0.249792,0.005333
22,30,0.154459,0.004708
20,33,0.182416,0.006
20,39,0.295208,0.008625
29,48,0.439418,0.010959
20,33,0.3485,0.00725
22,31,0.372792,0.006208
20,31,0.361999,0.007208
35,44,0.420875,0.011584
20,31,0.436708,0.008583
30,37,0.411083,0.011125
20,37,0.541209,0.010583
20,34,0.364541,0.008708
26,30,0.293542,0.006375
24,31,0.280917,0.006042
21,31,0.225292,0.005208
20,36,0.301124,0.007208
20,36,0.323792,0.007542
24,31,0.322666,0.0065
20,49,0.260709,0.00675
20,35,0.326917,0.00725
37,31,0.549751,0.007
20,40,0.327584,0.007834
20,426,0.396501,0.061042
21,31,0.422167,0.006584
21,34,0.446166,0.007
20,31,0.251251,0.005667
24,31,0.2765,0.005292
20,47,0.422,0.013875
28,33,0.350125,0.010375
21,31,0.279875,0.006334
24,32,0.427001,0.009875
52,33,0.495166,0.007958
20,69,0.916916,0.012708
20,35,0.407917,0.009042
224,34,0.585208,0.007667
20,65,0.391041,0.015583
24,38,0.460791,0.009583
20,48,0.320333,0.015458
24,32,0.275374,0.006542
60,30,0.268875,0.005583
20,51,0.536752,0.014917
20,54,0.279916,0.011
20,39,0.459835,0.007834
23,30,0.315957,0.006833
20,35,0.321168,0.007375
20,34,0.261793,0.006167
20,77,0.67196,0.020292
20,34,0.274958,0.00625
22,32,0.324168,0.006584
25,33,0.331208,0.007666
20,32,0.146916,0.006416
27,30,0.317375,0.007709
20,31,0.311084,0.006167
20,38,0.277167,0.007917
121,30,0.277291,0.005167
20,33,0.222958,0.006
33,32,0.240082,0.005916
20,73,0.381708,0.014042
20,32,0.286375,0.005833
24,31,0.495833,0.010208
20,62,0.664417,0.016167
21,31,0.327708,0.007083
20,31,0.393874,0.0075
20,41,0.24725,0.006542
20,33,0.257666,0.006792
20,40,0.52925,0.010083
21,62,0.314123,0.013291
20,34,0.285126,0.00775
20,110,0.509916,0.03325
24,32,0.294791,0.007208
22,35,0.272958,0.007042
20,32,0.299376,0.00625
20,32,0.348333,0.007291
20,33,0.438542,0.007917
16,38,0.165584,0.006959
24,43,0.705208,0.015375
20,38,0.30625,0.008
20,47,0.362792,0.011084
20,34,0.298249,0.007041
20,60,0.33771,0.011125
24,31,0.170293,0.007167
22,31,0.245667,0.005375
21,31,0.6255,0.006084
20,31,0.362292,0.00825
23,33,0.514458,0.008583
34,32,0.494958,0.009042
496,2,0.223126,0.001542
34,2,0.272499,0.001708
21,5,0.217374,0.002875
126,2,0.194667,0.001542
20,5,0.322125,0.001917
259,5,0.222417,0.002875
20,8,0.212584,0.002167
264,2,0.208751,0.001375
20,2,0.197209,0.001584
147,2,0.193333,0.0015
104,2,0.254042,0.001292
216,2,0.328208,0.001542
4,6,0.196791,0.002458
45,2,0.226833,0.00125
20,7,0.16275,0.001833
20,12,0.257917,0.002875
92,2,0.300416,0.001542
68,2,0.308999,0.002583
140,2,0.210583,0.00175
22,2,0.199751,0.001792
45,2,0.309417,0.0015
21,2,0.210167,0.002125
20,2,0.247833,0.004458
41,2,0.090168,0.001417
288,2,0.190959,0.001875
72,2,0.235751,0.003292
20,5,0.284499,0.001916
608,2,0.219083,0.001625
48,2,0.255624,0.003291
88,2,0.285709,0.001458
2,2,0.186792,0.00175
20,15,0.230375,0.003542
44,2,0.287292,0.00225
34,2,0.259167,0.008875
20,12,0.242042,0.003084
20,3,0.177208,0.002375
22,4,0.057584,0.002417
21,3,0.208584,0.00175
22,2,0.209916,0.00225
20,5,0.237083,0.00225
20,10,0.260543,0.004792
216,2,0.352168,0.001709
20,13,0.091624,0.00275
24,2,0.225376,0.004625
21,2,0.206667,0.00175
24,2,0.195167,0.001959
20,11,0.189042,0.0025
20,2,0.208332,0.001208
170,2,0.237166,0.002375
261,2,0.4,0.001417
66,2,0.228416,0.001375
2,2,0.168959,0.001583
44,3,0.091459,0.001792
20,6,0.227292,0.002042
45,2,0.226875,0.001375
20,9,0.156416,0.002375
756,2,0.287041,0.001791
20,13,0.332458,0.003875
33,3,0.291709,0.002584
56,2,0.211625,0.00125
20,8,0.198709,0.001875
85,2,0.214249,0.001541
1,2,0.197792,0.002208
58,2,0.209416,0.001416
24,2,0.199459,0.002042
4,4,0.193082,0.001375
20,6,0.198542,0.001917
425,2,0.263125,0.001542
92,2,0.274915,0.001583
306,2,0.2415,0.003625
20,16,0.311332,0.004708
24,2,0.10225,0.001542
28,2,0.081834,0.003417
65,2,0.174832,0.002208
140,2,0.157792,0.001041
25,2,0.251833,0.001958
43,3,0.178291,0.001333
19,3,0.17304,0.001375
64,2,0.240542,0.000916
20,18,0.286541,0.00475
36,2,0.230959,0.001959
32,4,0.280958,0.002375
20,9,0.205875,0.002292
46,2,0.284418,0.001584
48,2,0.242207,0.001166
26,2,0.091165,0.001791
90,2,0.188791,0.001166
36,2,0.234251,0.001667
11,11,0.14425,0.002167
522,2,0.215625,0.0025
330,2,0.269791,0.006125
22,2,0.19325,0.00125
20,10,0.285834,0.002625
20,2,0.222084,0.002417
